 STATION:/BIG SUNFLOWER/ANGUILLA/AREA//1DAY/BSM RECOMMENDED REV/                         
 
 DATE: 01NOV1943-28FEB1996
 DURATION & WATER DEPTH :  30      1.50
 
  TIME        TOTAL      WATERFOWL   WATERFOWL   WATERFOWL    WATERFOWL
 PERIOD       ACRES       ACRES       FAILS       FAILS        FAILS
                                      DEPTH      DURATION   DEPTH & DURATION
 
01NOV1943     415.5      415.5  **********  **********  **********
02NOV1943     415.5      831.0  **********  **********  **********
03NOV1943     415.5     1246.5  **********  **********  **********
04NOV1943     415.5     1662.0  **********  **********  **********
05NOV1943     415.5     2077.5  **********  **********  **********
06NOV1943     438.0     2515.6  **********  **********  **********
07NOV1943     446.9     2962.5  **********  **********  **********
08NOV1943     455.7     3418.2  **********  **********  **********
09NOV1943     473.4     3891.6  **********  **********  **********
10NOV1943     482.1     4373.7  **********  **********  **********
11NOV1943     490.8     4864.5  **********  **********  **********
12NOV1943     508.7     5373.2  **********  **********  **********
13NOV1943     526.2     5899.4  **********  **********  **********
14NOV1943     517.5     6416.9  **********  **********  **********
15NOV1943     499.9     6916.8  **********  **********  **********
16NOV1943     482.2     7399.0  **********  **********  **********
17NOV1943     464.6     7863.6  **********  **********  **********
18NOV1943     446.9     8310.5  **********  **********  **********
19NOV1943     433.6     8744.1  **********  **********  **********
20NOV1943     433.6     9177.6  **********  **********  **********
21NOV1943     427.5     9605.2  **********  **********  **********
22NOV1943     424.6    10029.8  **********  **********  **********
23NOV1943     424.6    10454.3  **********  **********  **********
24NOV1943     424.6    10878.9  **********  **********  **********
25NOV1943     424.6    11303.5  **********  **********  **********
26NOV1943     424.6    11728.1  **********  **********  **********
27NOV1943     424.6    12152.7  **********  **********  **********
28NOV1943     421.5    12574.2  **********  **********  **********
29NOV1943     421.5    12995.7  **********  **********  **********
30NOV1943     421.5    13417.2  **********  **********  **********
01DEC1943     421.5    13423.3  **********  **********  **********
02DEC1943     421.5    13429.3  **********  **********  **********
03DEC1943     421.5    13435.3  **********  **********  **********
04DEC1943     421.5    13441.3  **********  **********  **********
05DEC1943     421.5    13447.3  **********  **********  **********
06DEC1943     421.5    13447.3  **********  **********  **********
07DEC1943     421.5    13447.3  **********  **********  **********
08DEC1943     421.5    13447.3  **********  **********  **********
09DEC1943     421.5    13447.3  **********  **********  **********
10DEC1943     421.5    13447.3  **********  **********  **********
11DEC1943     421.5    13447.3  **********  **********  **********
12DEC1943     421.5    13447.3  **********  **********  **********
13DEC1943     421.5    13447.3  **********  **********  **********
14DEC1943     421.5    13447.3  **********  **********  **********
15DEC1943     421.5    13447.3  **********  **********  **********
16DEC1943     421.5    13447.3  **********  **********  **********
17DEC1943     421.5    13447.3  **********  **********  **********
18DEC1943     421.5    13447.3  **********  **********  **********
19DEC1943     421.5    13447.3  **********  **********  **********
20DEC1943     421.5    13447.3  **********  **********  **********
21DEC1943     421.5    13447.3  **********  **********  **********
22DEC1943     421.5    13447.3  **********  **********  **********
23DEC1943     421.5    13447.3  **********  **********  **********
24DEC1943     424.6    13450.4  **********  **********  **********
25DEC1943     427.5    13456.4  **********  **********  **********
26DEC1943     431.8    13466.7  **********  **********  **********
27DEC1943     428.8    13474.0  **********  **********  **********
28DEC1943     426.1    13478.5  **********  **********  **********
29DEC1943     446.9    13503.9  **********  **********  **********
30DEC1943     475.0    13557.4  **********  **********  **********
31DEC1943     475.1    13610.9  **********  **********  **********
01JAN1944     589.4    13753.4  **********  **********  **********
02JAN1944     676.8    13955.1  **********  **********  **********
03JAN1944     860.8    14139.2  **********  **********  **********
04JAN1944     838.6    14301.0  **********  **********  **********
05JAN1944     849.3    14473.4  **********  **********  **********
06JAN1944     913.6    14710.3  **********  **********  **********
07JAN1944     878.0    14911.5  **********  **********  **********
08JAN1944     855.2    15089.9  **********  **********  **********
09JAN1944     818.3    15231.4  **********  **********  **********
10JAN1944     787.6    15342.3  **********  **********  **********
11JAN1944     739.6    15492.5  **********  **********  **********
12JAN1944     708.4    15611.4  **********  **********  **********
13JAN1944     717.5    15739.5  **********  **********  **********
14JAN1944     727.8    15877.8  **********  **********  **********
15JAN1944     840.4    16041.4  **********  **********  **********
16JAN1944     913.5    16258.8  **********  **********  **********
17JAN1944     963.6    16382.0  **********  **********  **********
18JAN1944    1007.5    16549.2  **********  **********  **********
19JAN1944    1004.6    16713.4  **********  **********  **********
20JAN1944     993.3    16866.3  **********  **********  **********
21JAN1944     974.2    17000.1  **********  **********  **********
22JAN1944     938.2    17097.9  **********  **********  **********
23JAN1944     905.4    17307.2  **********  **********  **********
24JAN1944     873.2    17494.6  **********  **********  **********
25JAN1944     827.5    17645.2  **********  **********  **********
26JAN1944     796.3    17764.8  **********  **********  **********
27JAN1944     773.3    17948.6  **********  **********  **********
28JAN1944     744.0    18103.2  **********  **********  **********
29JAN1944     722.5    18236.2  **********  **********  **********
30JAN1944     692.5    18339.4  **********  **********  **********
31JAN1944     675.0    18539.2  **********  **********  **********
01FEB1944     657.5    18721.7  **********  **********  **********
02FEB1944     657.5    18904.1  **********  **********  **********
03FEB1944     893.8    19140.4  **********  **********  **********
04FEB1944    1029.6    19276.2  **********  **********  **********
05FEB1944    1097.9    19480.3  **********  **********  **********
06FEB1944    1190.1    19640.8  **********  **********  **********
07FEB1944    1205.0    19816.1  **********  **********  **********
08FEB1944    1191.1    19977.6  **********  **********  **********
09FEB1944    1177.9    20125.9  **********  **********  **********
10FEB1944    1150.9    20247.1  **********  **********  **********
11FEB1944    1137.7    20355.2  **********  **********  **********
12FEB1944    1138.2    20463.8  **********  **********  **********
13FEB1944    1138.9    20573.1  **********  **********  **********
14FEB1944    1124.3    20667.8  **********  **********  **********
15FEB1944    1110.2    20884.2  **********  **********  **********
16FEB1944    1112.2    21102.6  **********  **********  **********
17FEB1944    1099.2    21308.0  **********  **********  **********
18FEB1944    1101.8    21516.0  **********  **********  **********
19FEB1944    1103.7    21725.8  **********  **********  **********
20FEB1944    1112.4    21944.5  **********  **********  **********
21FEB1944    1113.0    22163.6  **********  **********  **********
22FEB1944    1151.1    22285.1  **********  **********  **********
23FEB1944    1380.2    22514.2  **********  **********  **********
24FEB1944    1535.0    22669.0  **********  **********  **********
25FEB1944    1682.3    22816.3  **********  **********  **********
26FEB1944    1864.3    22998.3  **********  **********  **********
