DSS File:	C:\project\EnviroDuck\fortran\test\x64\Debug\input.dss
Stage Elevatopn Path:	/BIG SUNFLOWER/LITTLE CALLAO/ELEV/01NOV1948/1DAY/EXISTING/
Stage Area Path:	/BIG SUNFLOWER/LITTLE CALLAO/ELEV-AREA//STAGE AREA CURVE/2YR_TOTAL/
Time Window:	11/1 - 2/29
Days until Exhaustion: 30 Days
Max Rearing Depth: 1.5 Feet


Year	Stage	Feeding	Resting	Exhaustion Stage
11/1/1996	85.02			
11/2/1996	89.02			
11/3/1996	87.02			
11/4/1996	86.02			
11/5/1996	85.02			
11/6/1996	84.52			
11/7/1996	84.13			
11/8/1996	85.73			
11/9/1996	86.31			
11/10/1996	86.15			
11/11/1996	85.77			
11/12/1996	85.41			
11/13/1996	85.07			
11/14/1996	84.70			
11/15/1996	84.33			
11/16/1996	84.01			
11/17/1996	83.79			
11/18/1996	83.74			
11/19/1996	83.71			
11/20/1996	83.69			
11/21/1996	83.60			
11/22/1996	83.51			
11/23/1996	83.48			
11/24/1996	83.42			
11/25/1996	83.62			
11/26/1996	84.79			
11/27/1996	85.20			
11/28/1996	85.22			
11/29/1996	85.12			
11/30/1996	85.12			
12/1/1996	89.52	2,084.5	27,115.3	83.4
12/2/1996	91.60	2,083.5	30,004.4	83.4
12/3/1996	92.17	2,083.5	30,796.1	83.4
12/4/1996	91.95	2,083.5	30,490.5	83.4
12/5/1996	91.07	2,083.5	29,268.2	83.4
12/6/1996	89.84	2,084.2	27,559.8	83.4
12/7/1996	88.63	2,084.1	25,878.7	83.4
12/8/1996	87.52	2,083.5	24,336.3	83.4
12/9/1996	86.72	2,083.5	23,225.1	83.4
12/10/1996	86.08	2,083.5	22,336.1	83.4
12/11/1996	85.64	2,083.5	21,725.0	83.4
12/12/1996	85.30	2,083.5	21,252.7	83.4
12/13/1996	84.95	2,083.5	20,766.5	83.4
12/14/1996	84.67	1,805.7	20,377.6	83.4
12/15/1996	84.49	1,527.9	20,127.6	83.4
12/16/1996	84.42	1,389.0	20,030.4	83.4
12/17/1996	88.75	2,084.3	26,045.5	83.4
12/18/1996	89.92	2,084.1	27,670.9	83.4
12/19/1996	91.17	2,083.5	29,407.1	83.4
12/20/1996	90.46	2,083.5	28,420.9	83.4
12/21/1996	89.27	2,084.5	26,768.0	83.4
